timestep_index,step_value,split,skill_score
0,0,train,0.016993343830108643
0,0,val,0.008490920066833496
0,0,test,0.02253478765487671
1,1,train,0.038372159004211426
1,1,val,0.0010837912559509277
1,1,test,-0.03010272979736328
2,2,train,0.0939565896987915
2,2,val,-0.0059125423431396484
2,2,test,-0.0011343955993652344
3,3,train,0.21331995725631714
3,3,val,0.03859710693359375
3,3,test,0.11997419595718384
4,4,train,0.2682046890258789
4,4,val,0.0674428939819336
4,4,test,0.269400954246521
5,5,train,0.31791478395462036
5,5,val,0.05486994981765747
5,5,test,0.2987239956855774
6,6,train,0.36868321895599365
6,6,val,0.11494886875152588
6,6,test,0.525638222694397
7,7,train,0.39222919940948486
7,7,val,0.15620094537734985
7,7,test,0.6512496471405029
8,8,train,0.45200544595718384
8,8,val,0.13796722888946533
8,8,test,0.6532328128814697
9,9,train,0.5027595162391663
9,9,val,0.10107094049453735
9,9,test,0.7315342426300049
10,10,train,0.5212663412094116
10,10,val,0.15016067028045654
10,10,test,0.8416057825088501
11,11,train,0.5691373348236084
11,11,val,0.20292413234710693
11,11,test,0.8809549808502197
12,12,train,0.5963233113288879
12,12,val,0.25155365467071533
12,12,test,0.9009347558021545
